name,salary,employment_type,company_name,text,uid 
 Продуктовый аналитик (монетизация) ,от 155 000 ₽ /на руки, Москва , Яндекс.Дзен,"Какие у нас задачи: участвовать в формировании и обсуждении продуктовых планов; разрабатывать метрики и имплементировать их в инструменты мониторинга и экспериментирования; анализировать поведение пользователей и извлекать из данных инсайты; участвовать в командных проектах в качестве исследователя очень больших данных. Нам важно, чтобы вы: умели формулировать продуктовые гипотезы и понимали как будете их проверять; ориентировались на результат, а не на процесс; владели основами математической статистики; не боялись больших объемов данных и сложных комплексных задач; могли написать SQL запрос и обработать данные на python; разбирались в интернет-технологиях; были способны общаться на одном языке со специалистами из разных областей (разработчики, дизайнеры, аналитики, менеджеры, маркетологи); обладали чувством прекрасного и любовью к пользователям. Будет плюсом: опыт продуктовой аналитики; интерес или практический опыт в теме рекламных технологий. Условия: премии по результатам работы; ДМС со стоматологией, можно подключать ближайших родственников с большой скидкой; 14 дней больничных в год оплачиваем 100%; компенсация занятий спортом; новое оборудование, дополнительные мониторы; обучение за счет компании; материальная помощь в сложных жизненных ситуациях. ",41087
 Маркетинговый аналитик ,от 130 000 ₽ /на руки, Москва , Яндекс.Дзен,"Вы нам подходите, если вы: имеет опыт в продуктовой аналитике от 2х лет; умеете находить общий язык с разными людьми; владеете основами математической статистики; понимаете техническое устройство интернета; программируете на Python, знаете SQL и не боитесь осваивать новые технологии; умеете видеть за числами физический смысл и находить причины явлений; ориентированы на результат, а не на процесс. Вам предстоит: сделать все, чтобы команда принимала решения, основанные на данных; участвовать в формировании и обсуждении маркетинговых планов; выявлять ключевые проблемы и помогать команде сфокусироваться на них; оценивать экономическую эффективность маркетинговых активностей; анализировать поведение пользователей и извлекать из данных инсайты; генерировать гипотезы и находить самые эффективные способы их проверки; строить отчеты так, чтобы они помогали команде принимать решения. ",41082
 Junior Data Engineer ,от 50 000 ₽ /на руки," Москва, Удалённо ", Mediascope,"Чем Вы будете заниматься: Контроль работы Big Data платформы; Обнаружение ошибок в обработке данных, диагностика ошибок и участие в их устранении; Участие в развитии мониторинга систем; Автоматизация задач анализа данных и операционных процессов; Управление задачами обработки данных в Airflow; Анализ входных и выходных данных; Выполнение задач по расчету данных на платформе Big Data. Мы ожидаем, что Вы обладаете: Навыками написания SQL-запросов на извлечение данных; Базовыми знаниями работы в командной строке Linux; Способностью вникать в логику работы сложных систем; Аналитическим складом ума; Хорошей общей и технической грамотностью; Пониманием назначения BigData-систем. Будет плюсом: Опыт работы с любым ETL инструментом; Знание Pandas; Общее понимание экосистемы Hadoop; Опыт работы с GitLab; Знание Python/scala на базовом уровне; Понимание работы Apache Spark; Что мы ценим в людях: Умение работать в команде; Инициативность в постоянном улучшении работы; Готовность учиться и помогать коллегам в решении задач; Ответственность за результат. Что мы предлагаем: Возможность работать из дома и гибкий подход к рабочему графику; При необходимости - современный и комфортный офис класса А в пешей доступности от м. Савеловская и м. Марьина Роща; Конкурентную заработную плату; Официальное оформление: все процессы согласно ТК; Заботу о вашем здоровье – хорошую страховку ДМС, включающую обслуживание в ведущих центрах Москвы; Соблюдение необходимых мер по обеспечению безопасности здоровья в офисном пространстве; Дружелюбную корпоративную культуру, приятных коллег и отсутствие дресс-кода; Корпоративные скидки у различных партнеров компании. ",41035
 Системный аналитик ,от 156 000 ₽ /на руки, Санкт-Петербург , СБЕР,"Обязанности Сбор бизнес-требований по существующему бэклогу; Подготовка и актуализация системных требований; Проектирование интеграционных взаимодействий; Участие в проведении тестирования; Проведение приемо-сдатотчных испытаниях; Разбор дефектов. Требования Опыт работы в качестве системного аналитика от 2 лет; Навык проектирования интеграционных решений/сервисов (SOAP, Rest, Kafka); Развитые коммуникативные навыки; Знание принципов разработки ПО; Умение классифицировать требования к ПО; Навыки выявления требований к ПО; Формулирование требований в понятном представлении как для бизнеса, так и для разработки; Управление требованиями; Знание основ проектирования БД; Знание нотаций моделирования (UML, BPMN); Опыт работы с СУБД ORACLE; Базовые знания SQL. Условия Прозрачная система бонусов и премий, достойная зарплата – размер обсуждается по итогам собеседования; Гибкий график, сокращенный рабочий день в пятницу; ДМС; Широкий спектр дисконт–программ, СберПрайм+, скидки и привилегий от компаний-партнеров; Льготная ипотека, рассрочки и кредитование; Возможность проходить обучение в Корпоративном Университете Сбербанка. ",41097
 Архитектор Big Data ,от 140 000 ₽ /на руки," Москва, Удалённо ", РСХБ-Интех,"Задачи: Проектирование, прототипирование и разработка решений для загрузки, хранения, обработки и визуализации больших массивов данных; Архитектурный надзор ИТ-решений; Работа в Jira, Confluence. Требования: Опыт разработки, не менее 3-х лет в роли ведущего разработчика, решений для загрузки, хранения, обработки и визуализации больших массивов данных; Опыт работы с Hadoop, Spark, HBase, Hive, Kafka; Хорошее знание структур и алгоритмов обработки больших массивов данных; Хорошее знание одного из языков программирования: Scala, Java, Python; Знакомство с Docker, Kubernetes, RabbitMQ, PostgreSQL, Redis, MongoDB, Cassandra; Опыт работы с Cloudera; Опыт разработки архитектуры систем по проектам Big data. Опыт работы с Hive; Успешно реализованные, запущенные и живые проекты (Big Data); Опыт построения решений в области Big Data или MachineLearning; Понимание архитектуры хранилищ данных и инструментов, которые с ним работают; Знание Informatica Power Center for BigData( DEI ) и/или других ETL/ELT средств; Знание Oracle; Опыт разработки архитектурной документации; Желательно знание банковских продуктов и бизнес-процессов. Условия: Амбициозные, интересные задачи с возможностью проявить себя, возможность профессионального развития и карьерного роста; Выбор направления развития, как по стеку, так и функциональным областям; Ориентируемся на финансовые пожелания кандидата в зависимости от навыков и опыта; Команда экспертов, сплочённый коллектив единомышленников, передача знаний; Возможность выбрать время начала и окончания работы, а также возможность гибридного графика работы (офис/удаленка); Оформление согласно ТК РФ; Полис ДМС после испытательного срока; Комфортный, новый офис в 5 мин от ст. м. Тёплый стан. ",41091
 Старший аналитик ,от 120 000 ₽ /на руки, Москва , 2MOOD,"Вы получите: Стабильную ежемесячную оплату труда (2 раза в месяц на карту); Официальное оформление в полном соответствии с требованиями Трудового Кодекса; Позитивную рабочую атмосферу в дружном коллективе; График работы 5/2 с 9 до 18 или с 10 до 19; Карьерный и профессиональный рост; Корпоративную скидку сотрудника на продукцию Бренда. Задачи: Автоматизация процессов управления товарными запасами и товарной аналитики; Написание ТЗ для построения и автоматизации отчетов участие в проектах; Разработка OLAP-кубов; Написание запросов SQL; Прогнозирование спроса и остатков; Аналитика по товарным категориям/SKU, коллекции, каналы продаж, магазины и т.д; Аналитика товарных запасов; Разработка алгоритмов по управлению товарными запасами; Формирование предложений по возможным мероприятиям, направленным на увеличение продаж и повышение оборачиваемости запасов; Подготовка отчетов в Excel по товарным запасам для руководства компании и обеспечения операционной деятельности. ",41086
 Системный аналитик (SberPrime) ,от 140 000 ₽ /на руки, Москва , СБЕР,"Обязанности: вывод подписки СберПрайм в каналы: мобильное приложение Сбер Банк Онлайн, web – сайт СБЕРа и другие аналитика требовании для бэка Единой Фронтальной Системы, также для (iOS/ANDROID) разработка фронтальных компонентов и интеграционных решений в рамках продукта Прайм проектирование API, методов клиент-серверного взаимодействия разработка необходимой документации, включая пользовательские инструкции и сценарии согласование новых фич с эксплуатацией АС, архитекторами функциональных областей. Требования: Высшее техническое образование; Не менее 1 года работы на позиции системного аналитика (учитывается стажировка) Hard skills: понимание жизненного цикла ПО и Проекта знание принципов построения интеграционных Rest взаимодействий навыки формирования документов: функциональных/бизнес-требований, спецификаций, технических заданий знание построения контейнера данных (XML, JSON) понимание основ построения моделей данных в реляционных СУБД умение описывать API (включая алгоритмы исполнения) знание SQL на уровне: join, группировок, вложенных запросов базовые знания по тестированию - опыт написания Use-cases и Test-Cases понимание основ построения SOA и микросервисной архитектуры. Soft skills: опыт создания и ведения презентаций и выступлений стремление как можно скорее решить проблему клиента желание развивать свои навыки и знания. Условия: официальное трудоустройство согласно ТК РФ белая заработная плата (оклад + годовая премия) ДМС оздоровительные программы для детей сотрудников возможность обучения за счет компании выплаты материальной помощи в особых/чрезвычайных случаях дисконт-программы от компаний партнеров льготное кредитование корпоративные цены на абонементы в крупные фитнес-сети комфортный офис и график работы 5/2. ",41085
 BI-аналитик (в г.Ялта) ,от 90 000 ₽ /на руки, Ялта , Mriya Resort & SPA,"Обязанности: Интервьюирование заказчика, формализация требований. Анализ источников данных, структуры данных и построение моделей данных. Формирование аналитических отчетов в Qlick Sense и Apache Superset (дизайн, написание кода). Поддержка и развитие текущих проектов по аналитике. Взаимодействие с разработчиками ПО, бизнес-аналитиками в рамках проектных задач. Подготовка технической и пользовательской документации. Работа с проектами в области маркетинга, финансов, документооборота, гостиничного бизнеса и т.д. Требования: Высшее техническое/экономическое образование. Отличные знания SQL. Опыт работы с СУБД: MS SQL, Oracle, PostgreSQL и др. Опыт работы в роли BI-аналитика от 1 года. Аналитический склад ума. Хорошие коммуникативные навыки. Опыт работы с большими объемами потоковых и пакетных данных, построения взаимосвязей и формирования на их основе выводов. Знание форматов XML, JSON. Знание основ программирования на Python (будет плюсом). Мы предлагаем: Официальное трудоустройство по ТК РФ. Предоставление места проживания, компенсация переезда в регион для иногородних специалистов. Ежемесячная компенсация аренды жилья для иногородних специалистов в размере 30 000 руб. Возможность стать значимой частью молодой и вовлеченной в своё дело команды, которая ценит здоровую коммуникацию и эмоциональный интеллект. Возможность реализовать свои инициативы, получив полную поддержку со стороны команды и руководства. Бесплатное питание и трансфер к месту работы. ",41037
 Аналитик ,от 60 000 ₽ /на руки, Москва , НИУ ВШЭ,"Обязанности наполнение хранилища данных; подключение к источникам данных; настройка алгоритмов выгрузки; трансформации данных; проверка качества данных; типизация данных; обогащение данных; подготовка данных для построения аналитических отчетов; создание интерактивных отчетов (дашбордов) с удобной визуальной аналитикой посредством использования BI-систем (на пример Power BI, Superset). Требования опыт написания SQL запросов для подготовки данных, анализа ошибок; навыки работы с большими массивами данных; навыки статистического анализа информации (таблицы, диаграммы, графики, формулы, расчеты); навыки интерпретации, визуализации и презентации данных; проектирование модели данных; будет преимуществом: опыт проектирования аналитических панелей и отчетов (дашбордов) с использованием BI-систем (Power BI, Tableau, Visiology, MicroStrategy, Superset и т.п.); готовность осваивать новые инструменты BI; навыки обработки данных в Python (или с помощью аналогичных инструментов); знание и умение работать в Airflow, PostgreSQL; желательно наличие портфолио дашбордов. Условия работы полный рабочий день, гибкий график работы; работа в крупной стабильной организации, получение уникального опыта; самый современный кампус в Европе, множество уютных кафе и коворкингов. большое количество научных и культурных мероприятий; обширные возможности профессионального развития, программы повышения квалификации, посещение образовательных мероприятий и лекций, возможность изучать иностранные языки; спортивные и тренажерные залы на территории университета; дружный коллектив; оформление по ТК РФ, полный соц. пакет; ДМС после 1 года работы; уровень заработной платы обсуждается индивидуально по результатам собеседования. ",41046
 Аналитик ,от 130 000 ₽ /на руки," Москва, Санкт-Петербург, Прага ", Яндекс.Толока,"Что нужно делать: построить модель спроса и предложения платформы, чтобы понимать потребности заказчиков в разметке и уточнять задачи по привлечению исполнителей; формулировать и изучать способы измерения качества получаемой разметки; изучать, как пользуются платформой заказчики разметки и какие функции полезны для исполнителей заданий, и на основе этого анализа решать, как развивать платформу; экспериментировать с внедрением фич, улучшающих продукт, изучать результаты экспериментов. Мы ждем, что вы: получили высшее техническое образование; хорошо знаете математику и владеете основами статистики; владеете SQL; умеете писать код на Python; знаете технологию A/B-тестирования и понимаете, как проверять гипотезы; любите учиться и открыты новому; любите данные и то, что можно из них извлечь; умеете наглядно представить важную информацию. Будет плюсом, если вы: работали с краудсорсинговыми платформами как заказчик; работали в сфере продуктовой аналитики; разбираетесь в маркетинговой аналитике; знакомы с принципами машинного обучения; хорошо владеете английским языком. ",41074
 Младший картограф ,от 40 000 ₽ /на руки, Удалённо , Яндекс.Карты,"Что нужно делать: поддерживать картографические работы по расписанию; готовить картографические данные к публикации; проверять качество данных от пользователей; обрабатывать автоматические сигналы; взаимодействовать с пользователями Карт, в том числе опытными (экспертами и модераторами), а также с кураторами, смежными подразделениями, заказчиками работ, отделом качества. Мы ждем, что вы: получили высшее картографическое образование (допустимо смежное или техническое); работали в других компаниях в картографической сфере; хорошо владеете ПК; имеете широкий кругозор; грамотно говорите и пишете на русском языке. Будет плюсом, если вы: работали с картографическим ПО; легко адаптируетесь к новым условиям; аналитически мыслите; способны выполнять рутинную работу и сохранять внимательность; доброжелательны; знаете иностранный язык. Условия: официальное трудоустройство по ТК РФ; сдельная оплата труда; рабочий день с 09:00 до 18:00, плавающие выходные; удалённая работа на своём оборудовании; стартовое обучение: расскажем, как работать с инструкциями, общаться с коллегами и заказчиками; в сложных случаях вам поможет куратор. ",41073
 Бизнес-аналитик (Banking) ,от 130 000 ₽ /на руки, Москва , Accenture,"Основные задачи: Анализ, выявление узких мест, предложения по усовершенствованию процессов в одной из следующих предметных областей: Текущие счета и РКО, Депозиты, Кредиты. Проведение интервью и сбор необходимой информации. Агрегирование и анализ собранной информации. Разработка функциональной карты приложений. Построение моделей расчета стоимости владения ИТ-решения, стоимости внедрения ИТ-решения. Разработка презентаций. Мы ожидаем, что у вас есть: Критическое мышление. Аналитические способности, математический склад ума. Стремление постоянно учиться и развиваться. Вы проактивны, целеустремленны и ответственны. Опыт работы в проектах в области банкинга и IT. По требованию готовы пройти профильное тестирование. Будет преимуществом: Опыт работы в Банковской сфере (Бэк-офисное подразделение). Мы предлагаем тебе: Возможность профессионального и карьерного роста; Конкурентоспособный уровень дохода и регулярное повышение по результатам Performance Review; ДМС с первого дня работы, включая стоматологию, в лучших клиниках Москвы и МО для тебя, твоего партнера и детей до 18 лет; Страхование жизни в размере годового оклада; Дополнительные 5 дней оплачиваемого отпуска в год; Ежемесячная денежная компенсация на питание; Программа корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг); Возможность обучения и сертификации за счет компании. ",41068
 Data Scientist ,от 140 000 ₽ /на руки, Москва , Accenture,"Задачи: Формализация бизнес-задач; Подготовка данных для эксперимента; Алгоритмизация экспериментов машинного обучения и вспомогательного инструментария; Постановка задач и управление группой аналитиков (2-3 человека); Презентация и защита результатов исследования. Мы ожидаем, что у вас есть: Высшее техническое/математическое/экономическое; Знания в области Natural language processing; Хорошее знание математики, статистики, алгоритмов машинного обучения и областей их применения, а также применения различных метрик качества к основным видам задач; Знание английского языка на уровне Upper-Intermediate; Хорошие навыки программирования на Python/R; Опыт применения библиотек для решения задач: статистического анализа (numpy, pandas), машинного обучения (sklearn, бустинги), построения нейронных сетей актуальных архитектур (tensorflow, keras, caffe, pytorch), визуализации (matplotlib), интеграции с источниками и трансформации данных; Опыт построения математических моделей и моделей машинного обучения “с нуля”; Опыт работы с SQL и базами данных. Будет преимуществом: Успешный опыт участия в конкурсах машинного обучения (kaggle и аналогичные); Опыт работы с временными рядами, обработкой текстовых данных; Опыт работы с Hadoop/Spark; Опыт front-end или back-end разработки. Мы предлагаем: Возможность профессионального и карьерного роста; Конкурентоспособный уровень дохода и регулярное повышение по результатам Performance Review; ДМС с первого дня работы, включая стоматологию, в лучших клиниках Москвы и МО для сотрудника, его партнера и детей до 18 лет; Страхование жизни в размере годового оклада сотрудника; Дополнительные 5 дней оплачиваемого отпуска в год; Ежемесячная денежная компенсация на питание; Программа корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг); Возможность обучения и сертификации за счет компании. ",41055
 Системный аналитик ,от 130 000 ₽ /на руки, Москва , Accenture,"Чем тебе предстоит заниматься: Решать задачи по анализу, проектированию и разработке хранилищ данных; Разработкой решений в соответствии с определенной архитектурой; Проектировать Витрины данных; Создавать прототипы для разработки всех сущностей DWH; Анализировать источники на качество данных; Ставить задачи и ТЗ разработчикам, составлять проектную документацию. Здорово, если ты: Имеешь практические навыки проектирования технических архитектур хранилищ данных и аналитических решений; Мы предлагаем тебе: Возможность профессионального и карьерного роста; Конкурентоспособный уровень дохода и регулярное повышение по результатам Performance Review; ДМС с первого дня работы, включая стоматологию, в лучших клиниках Москвы и МО для тебя, твоего партнера и детей до 18 лет; Страхование жизни в размере годового оклада; Дополнительные 5 дней оплачиваемого отпуска в год; Ежемесячная денежная компенсация на питание; Программа корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг); Возможность обучения и сертификации за счет компании. ",41053
 Системный аналитик (финтех) ,от 130 000 ₽ /на руки, Удалённо , Selecty,"Обязанности: Создание и согласование технических заданий на доработку автоматизированных систем и построение интеграционных взаимодействий; Описание API и протоколов взаимодействия; Участие в проектировании АС и интеграционных сервисов; Подготовка Use Сases и бизнес-требований; Разработка моделей требований, диаграмм (UML); Контроль выполнения и сроков поставленных задач командам разработки и тестирования. Требования: Опыт работы в роли системного или бизнес аналитика от 1 года; Обязательный опыт работы с ЕФС; Опыт работы с БД на уровне построения запросов средней сложности; Знание agile, опыт цифровой трансформации финансовых продуктов; Опыт написания функциональных требований/бизнес-требований/технических спецификаций на разработку; Знание протоколов и контейнеров данных (XML, XSD, JSON) для передачи информации между системами; Знание и умение работы с Wiki, трекинговыми системами (Jira, Confluence и тд). Знание одного из языков программирования (Java, Python). Условия: График: 5/2, 8-ми часовой рабочий день; Удаленный формат работы, любой регион; технику выдаем; Оформление по ТК РФ (белая заработная плата, отпускные и больничные); в т.ч. есть возможность трудоустройства в качестве ИП; Заработная плата обсуждается в зависимости от пожеланий и опыта кандидата; Расширенный ДМС (со стоматологией), корпоративные скидки на премиальный фитнес и языковые курсы. ",41029
 Senior System Analyst (Tinkoff Asia) ,от 140 000 ₽ /на руки," Москва, Удалённо ", Тинькофф,"Задачи: Сбор, анализ, документирование и согласование требований Проектирование архитектуры системы совместно с командйо Разработка детализированных постановок Консультировать разработчиков и тестировщиков по поставленным задачам Написание запросов к БД Взаимодействовать с другими участниками процесса разработки и внедрения: аналитиками, архитекторами, второй линией поддержки Требования: опыт с реляционными БД, навык написания SQL-запросов средней сложности опыт описания в BPMN и UML опыт проектирования интеграций, архитектуры и поддержания актуальности интеграционных спецификаций опыт работы с брокерами сообщений умение схематически, понятно документировать процессы и алгоритмы разговорный английский будет плюсом Условия: Достойный оклад + годовой бонус + ежегодная индексация Удаленный, гибридный или офисные режим работы в 19 городах присутствия Профессиональное развитие. Мы постоянно проводим митапы, тренинги и мастер-классы. В твоем распоряжении огромная библиотека с технической литературой Бесплатные и вкусные обеды в уютном Tinkoff Сafe. Если захочешь перекусить — на каждом этаже есть кухня с чаем, кофе и фруктами Забота о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Для твоих близких предложим льготные условия страхования Занятия в бесплатном фитнес-зале Tinkoff Sport. Пользуйся тренажерами, посещай групповые программы с крутыми тренерами, грейся в сауне А еще мы регулярно устраиваем турниры по футболу, волейболу и хоккею ",41024
 Аналитик (Sales/KPI) ,от 130 000 ₽ /на руки," Москва, Удалённо ", HOME CREDIT BANK,"Задачи: Разработка/доработка отчетности (продажи/выполнение KPI) с помощью SQL, Excel Поддержка региональных пользователей отчетности, консультация, ответы на вопросы Подготовка аналитики для руководства банка Требования: Технический склад ума Профи в анализе массивов данных (SQL, Excel, ,Pyton, R, – приветствуется) Опыт работы в одном из направлений: финансы, риски в розничном банке, автоматизация отчетности, CRM, анализ продаж/планирование в крупных FMCG компаниях Понимание принципов построения отчетности Важно умение общаться с людьми, доходчиво объяснять и аргументировать выводы и идеи Мы предлагаем: Фиксированный оклад + система премирования Социальный пакет Офис: м. Белорусская Гибридный формат работы Команда, открытая самым смелым идеям Внутренние программы обучения и развития Высокий уровень ответственности и возможность самостоятельно принимать решения Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации и отсутствие дресс-кода ",41015
 Data Engineer ,от 135 000 ₽ /на руки, Москва , Промсвязьбанк,"Ключевые задачи: Поддержка и развитие хранилища данных на базе MS SQL Server Разработка хранимых процедур, функций и запросов T-SQL Разработка/сопровождение ETL пакетов (SSIS, хранимые процедуры) Рефакторинг скриптов Что важно для нас: Высшее образование Опыт работы с SQL от 1 года (T-SQL, подзапросы, оконные функции, курсоры, динамические запросы) Свободное владение технологиями обработки больших массивов данных Понимание принципов построения хранилищ данных и систем аналитики Отличные коммуникативные навыки (опыт общения с заказчиком, ведение деловой переписки) Что предлагаем: Официальное оформление в соответствии с ТК РФ Конкурентный уровень дохода: оклад + премии Медицинская страховка, страховка для выезжающих за границу Доплата к отпускному и больничному листу Дополнительные льготы при заключении брака и рождении детей Социальная поддержка при сложных жизненных ситуациях Льготное кредитование для сотрудников Обучение в корпоративном университете банка Корпоративная библиотека ",41014
